date,value
1985-01-29,1552.519959
1985-01-30,1576.070007
1985-01-31,1561.440002
1985-02-01,1554.839935
1985-02-04,1550.879944
1985-02-05,1575.860047
1985-02-06,1568.690003
1985-02-07,1570.5
1985-02-08,1577.879944
1985-02-11,1576.5899960000002
1985-02-12,1557.499939
1985-02-13,1564.529968
1985-02-14,1590.890045
1985-02-15,1577.2999570000002
1985-02-19,1566.410065
1985-02-20,1566.850036
1985-02-21,1567.570007
1985-02-22,1564.839935
1985-02-25,1554.690002
1985-02-26,1560.280029
1985-02-27,1570.970032
1985-02-28,1561.750061
1985-03-01,1570.4399720000001
1985-03-04,1587.5100400000001
1985-03-05,1577.379944
1985-03-06,1578.7499699999998
1985-03-07,1560.72995
1985-03-08,1555.8100279999999
1985-03-11,1550.6700139999998
1985-03-12,1548.4600529999998
1985-03-13,1551.97998
1985-03-14,1535.719971
1985-03-15,1537.219971
1985-03-18,1530.950012
1985-03-19,1526.210022
1985-03-20,1550.530029
1985-03-21,1542.900055
1985-03-22,1551.720032
1985-03-25,1539.399963
1985-03-26,1533.369934
1985-03-27,1537.2600400000001
1985-03-28,1544.200012
1985-03-29,1541.769959
1985-04-01,1544.300049
1985-04-02,1554.859955
1985-04-03,1543.989929
1985-04-04,1533.6900329999999
1985-04-08,1536.5
1985-04-09,1528.609955
1985-04-10,1534.549988
1985-04-11,1545.3399960000002
1985-04-12,1544.089935
1985-04-15,1543.289978
1985-04-16,1549.7099910000002
1985-04-17,1552.5600279999999
1985-04-18,1562.71994
1985-04-19,1547.830017
1985-04-22,1552.1700139999998
1985-04-23,1546.7499699999998
1985-04-24,1562.5899960000002
1985-04-25,1559.9299620000002
1985-04-26,1570.919983
1985-04-29,1556.4599910000002
1985-04-30,1537.8399960000002
1985-05-01,1537.680054
1985-05-02,1523.669983
1985-05-03,1523.009949
1985-05-06,1527.3100279999999
1985-05-07,1528.429992
1985-05-08,1529.5700379999998
1985-05-09,1533.7799989999999
1985-05-10,1554.289978
1985-05-13,1565.609985
1985-05-14,1569.8699649999999
1985-05-15,1558.999939
1985-05-16,1565.419983
1985-05-17,1566.9299620000002
